2022-07-04 19:51:50.448 INFO  PID_IS_UNDEFINED --- [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.example.wj.WjApplicationTests], using SpringBootContextLoader
2022-07-04 19:51:50.456 INFO  PID_IS_UNDEFINED --- [main] o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.example.wj.WjApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2022-07-04 19:51:50.457 INFO  PID_IS_UNDEFINED --- [main] o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.example.wj.WjApplicationTests]: WjApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2022-07-04 19:51:50.803 INFO  PID_IS_UNDEFINED --- [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.example.wj.WjApplication for test class com.example.wj.WjApplicationTests
2022-07-04 19:51:51.017 INFO  PID_IS_UNDEFINED --- [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2022-07-04 19:51:51.117 INFO  PID_IS_UNDEFINED --- [main] o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@40dff0b7, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@7966baa7, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@60975100, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1253e7cb, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@2d36e77e, org.springframework.test.context.support.DirtiesContextTestExecutionListener@61c9c3fd, org.springframework.test.context.event.EventPublishingTestExecutionListener@3b0c9195, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@366c4480, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@2c7b5824, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@302a07d, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5cdd09b1, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@8c11eee, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7e8dcdaa]
2022-07-04 19:51:51.772 INFO  18996 --- [main] com.example.wj.WjApplicationTests - Starting WjApplicationTests using Java 18.0.1 on DESKTOP-63DTMM7 with PID 18996 (started by lhaisong_xiaoxin in E:\springboot\vue\Vue\wj)
2022-07-04 19:51:51.774 INFO  18996 --- [main] com.example.wj.WjApplicationTests - No active profile set, falling back to 1 default profile: "default"
2022-07-04 19:51:54.292 INFO  18996 --- [main] com.example.wj.WjApplicationTests - Started WjApplicationTests in 3.036 seconds (JVM running for 5.207)
2022-07-04 19:54:11.978 INFO  25844 --- [main] com.example.wj.WjApplication - Starting WjApplication using Java 1.8.0_291 on DESKTOP-63DTMM7 with PID 25844 (E:\springboot\vue\Vue\wj\target\classes started by lhaisong_xiaoxin in E:\springboot\vue\Vue\wj)
2022-07-04 19:54:11.981 INFO  25844 --- [main] com.example.wj.WjApplication - No active profile set, falling back to 1 default profile: "default"
2022-07-04 19:54:12.815 INFO  25844 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8443 (http)
2022-07-04 19:54:12.825 INFO  25844 --- [main] org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8443"]
2022-07-04 19:54:12.825 INFO  25844 --- [main] org.apache.catalina.core.StandardService - Starting service [Tomcat]
